# m_005 fixes: WORD_HYPHEN<tab>CONTINUATION<tab>RESULT
# Edit RESULT to keep hyphen, e.g.: self-<tab>pity<tab>self-pity
Platts-	burg	Plattsburg
whirl-	ing	whirling
Intelli-	gence,	Intelligence,
our-	selves	ourselves
noth-	ing,	nothing,
logi-	cal	logical
be-	liefs	beliefs
in-	tolerance,	intolerance,
accom-	plished	accomplished
in-	deed.	indeed.
whole-	heartedly	wholeheartedly
con-	fused	confused
supersti-	tion,	superstition,
com-	plete	complete
longshore-	man	longshoreman
emo-	tional	emotional
depres-	sion,	depression,
main-	spring	mainspring
“God-suf-	ficiency’’	“God-sufficiency’’
at-	tributes.	attributes.
self-	imposed	self-imposed
in-	volved	involved
senti-	ment,	sentiment,
feel-	ings,	feelings,
deter-	mine	determine
in-	telligent	intelligent
fear-	lessly,	fearlessly,
testi-	mony	testimony
interest-	ing	interesting
frustra-	tion.	frustration.
physi-	cal	physical
self-destruc-	tion.	self-destruction.
ap-	proached	approached
com-	panionship	companionship
dis-	appeared.	disappeared.
ele-	ments	elements
be-	ing	being
unfortu-	nates.	unfortunates.
grasp-	ing	grasping
baf-	fling,	baffling,
our-	selves	ourselves
im-	prove	improve
un-	derstood	understood
per-	fect	perfect
re-	lieved	relieved
some-	thing	something
per-	son	person
arrange-	ments	arrangements
try-	ing	trying
pro-	ducer	producer
poli-	ticians	politicians
What-	ever	Whatever
Some-	times	Sometimes
alco-	holics	alcoholics
con-	victions	convictions
try-	ing	trying
con-	scious	conscious
stren-	uous	strenuous
our-	selves	ourselves
stock-in-	trade.	stock-in-trade.
can-	not	cannot
con-	vinced	convinced
manifes-	tations.	manifestations.
am-	bitions,	ambitions,
relation-	snubbed	relationsnubbed
ex-	pense	expense
fin-	ished	finished
ap-	parent	apparent
alco-	holic,	alcoholic,
in-	finitely	infinitely
alcohol-	ics	alcoholics
en-	tirely	entirely
toler-	ance,	tolerance,
dis-	honest,	dishonest,
situa-	tion	situation
connec-	tion	connection
Self-	reliance	Self-reliance
spiritu-	ality	spirituality
procrea-	tion.	procreation.
con-	troversy.	controversy.
inconsider-	ate?	inconsiderate?
remem-	bered	remembered
will-	ing	willing
prob-	lem.	problem.
situa-	tion,	situation,
our-	selves.	ourselves.
in-	ventory,	inventory,
ad-	mitted	admitted
ad-	mitted	admitted
usu-	ally	usually
an-	other	another
new-	comers	newcomers
ex-	perience,	experience,
reputa-	tion,	reputation,
some-	one	someone
con-	stant	constant
Un-	willing	Unwilling
per-	son	person
au-	thority	authority
peo-	ple	people
can-	not	cannot
ex-	pense.	expense.
im-	portant	important
pre-	pared	prepared
life-and-	death	life-and-death
be-	gin	begin
build-	ing	building
prop-	erly	properly
in-	dispensable.	indispensable.
ob-	jectionable?	objectionable?
Cre-	ator,	Creator,
accu-	mulated	accumulated
try-	ing	trying
maxi-	mum	maximum
mes-	sage.	message.
pur-	pose,	purpose,
ap-	proach	approach
dis-	cussed.	discussed.
au-	thorities.	authorities.
con-	fidence	confidence
ar-	rest.	arrest.
guid-	ing.	guiding.
There-	fore,	Therefore,
Be-	cause	Because
ali-	mony	alimony
com-	menced	commenced
noth-	ing	nothing
ob-	tained	obtained
pos-	sibly	possibly
liveli-	hood.	livelihood.
wide-	spread	widespread
rela-	tions	relations
under-	stands.’’	understands.’’
under-	stand,	understand,
some-	thing	something
general-	ship	generalship
understand-	ing	understanding
medita-	tion	meditation
be-	havior	behavior
drunken-	ness	drunkenness
postpone-	ment	postponement
atti-	tude	attitude
in-	tuitively	intuitively
understand-	ing	understanding
re-	turned.	returned.
condi-	tion.	condition.
some-	thing	something
useful-	ness	usefulness
Be-	fore	Before
condi-	tions	conditions
as-	surance,	assurance,
inspira-	tion	inspiration
con-	scious	conscious
in-	spiration.	inspiration.
mem-	bers	members
confi-	dence	confidence
Fre-	quent	Frequent
Anony-	mous,	Anonymous,
per-	suade	persuade
prob-	lems,	problems,
de-	pressed.	depressed.
encour-	age	encourage
inconsisten-	cies	inconsistencies
en-	tirely	entirely
hap-	pened	happened
denomina-	tion.	denomination.
re-	ligion.	religion.
denomina-	tions.	denominations.
hope-	less	hopeless
him-	self,	himself,
mis-	take.	mistake.
alco-	holics	alcoholics
fellow-	ship.	fellowship.
re-	spond	respond
op-	portunity	opportunity
Per-	haps	Perhaps
coun-	seling	counseling
some-	times	sometimes
differ-	ence	difference
Non-	sense.	Nonsense.
de-	pendence	dependence
pros-	pect	prospect
princi-	ples	principles
spiri-	tual	spiritual
be-	low	below
relation-	ship	relationship
depen-	dent	dependent
relation-	ship	relationship
remark-	able	remarkable
every-	thing!	everything!
im-	possible	impossible
recep-	tions,	receptions,
qualifica-	tion.	qualification.
go-	ing	going
withdraw-	ing	withdrawing
with-	draw	withdraw
hang-	over.	hangover.
ques-	tion.	question.
im-	mensely	immensely
witch-	burners.	witchburners.
re-	covering	recovering
them-	selves	themselves
know-	ing	knowing
heart-	breaking	heartbreaking
hus-	bands	husbands
deser-	tion.	desertion.
sanitari-	ums,	sanitariums,
atten-	tions.	attentions.
hus-	band.	husband.
incon-	siderate;	inconsiderate;
sick-	ened	sickened
morn-	ing	morning
ad-	mits	admits
pre-	sents	presents
com-	pletely	completely
in-	sane	insane
need-	lessly.	needlessly.
drink-	ers.	drinkers.
hus-	band’s	husband’s
de-	scription	description
interest-	ing	interesting
urg-	ing	urging
re-	mind	remind
pre-	sent	present
in-	dividual,	individual,
classifi-	cation	classification
Every-	body	Everybody
recov-	eries.	recoveries.
im-	paired	impaired
in-	stitutions.	institutions.
re-	turned.	returned.
danger-	ous,	dangerous,
con-	ditions	conditions
drink-	ing,	drinking,
tele-	phone	telephone
unnec-	essary.	unnecessary.
na-	ture	nature
chil-	dren.	children.
prob-	lem	problem
hus-	band’s	husband’s
Dis-	cuss	Discuss
ap-	parent	apparent
prob-	lems	problems
per-	son;	person;
hus-	band	husband
In-	stead,	Instead,
crit-	icize.	criticize.
alco-	holic.	alcoholic.
resent-	ful	resentful
sobri-	ety.	sobriety.
spir-	itual	spiritual
un-	dreamed-of	undreamed-of
peo-	ple	people
proba-	bly	probably
satis-	fied	satisfied
mo-	ment	moment
prob-	lem	problem
pre-	vented,	prevented,
re-	lated	related
atti-	tudes	attitudes
com-	mon	common
dis-	cord	discord
ro-	mantic,	romantic,
re-	placed	replaced
hu-	miliating,	humiliating,
forget-	fulness	forgetfulness
self-	centered	self-centered
re-	quires,	requires,
pos-	session	possession
some-	times	sometimes
re-	won.	rewon.
in-	timate	intimate
occur-	rences.	occurrences.
un-	less	unless
an-	other	another
ex-	tremes.	extremes.
experi-	ence	experience
inat-	tention.	inattention.
be-	fore	before
convalesc-	ing.	convalescing.
prog-	ress.	progress.
spir-	itual	spiritual
resent-	ful	resentful
ac-	complished	accomplished
in-	dulged	indulged
pros-	pector,	prospector,
aver-	age	average
cur-	rent	current
con-	demn	condemn
per-	son	person
spiri-	tual	spiritual
Dur-	ing	During
disagree-	able,	disagreeable,
suc-	cess	success
grow-	ing	growing
fel-	low	fellow
spiri-	tual	spiritual
house-	hold.	household.
way-	ward	wayward
accus-	tomed	accustomed
considera-	tion	consideration
commu-	nity	community
con-	tact	contact
con-	gregations.	congregations.
fore-	going	foregoing
con-	sult	consult
alco-	holism,	alcoholism,
use-	fulness.	usefulness.
experi-	ence	experience
oppor-	tunity	opportunity
think-	ing	thinking
con-	vinced	convinced
power-	ful	powerful
practition-	ers	practitioners
depend-	ing	depending
Un-	less	Unless
emo-	tional	emotional
hard-	ness	hardness
med-	itation	meditation
discus-	sion	discussion
fam-	ilies	families
help-	ful,	helpful,
ail-	ments	ailments
hun-	dreds	hundreds
exception-	ally	exceptionally
re-	ceiver:	receiver:
obitu-	ary	obituary
un-	abated.	unabated.
un-	derstanding	understanding
respon-	sibility	responsibility
mag-	nitude.	magnitude.
com-	ment	comment
three-	months	threemonths
Follow-	ing	Following
re-	covery.	recovery.
under-	standing	understanding
prof-	itably	profitably
preju-	dices.	prejudices.
an-	noyed	annoyed
even-	ing,	evening,
morn-	ing,	morning,
fast-	thinking,	fastthinking,
appreci-	ated	appreciated
some-	thing	something
pos-	sible	possible
per-	son,	person,
for-	ever?	forever?
thor-	oughly	thoroughly
dis-	charged	discharged
alco-	hol.	alcohol.
ad-	vance	advance
respon-	sible.	responsible.
drink-	ing	drinking
atti-	tude.	attitude.
alco-	holic	alcoholic
under-	taken,	undertaken,
con-	tains	contains
meth-	ods?	methods?
treat-	ment.	treatment.
condi-	tion	condition
atti-	tude	attitude
suc-	cesses	successes
under-	stand	understand
ex-	pense	expense
un-	doubtedly	undoubtedly
em-	ployee	employee
resent-	ment,	resentment,
provoca-	tion	provocation
weak-	ened,	weakened,
readjust-	ment	readjustment
alco-	holics	alcoholics
alco-	holic	alcoholic
un-	important	unimportant
re-	covery	recovery
dis-	charged	discharged
con-	tents	contents
posi-	tion	position
excep-	tions	exceptions
consid-	erable	considerable
reputa-	tion.	reputation.
produc-	tion	production
busi-	ness,	business,
col-	lectively	collectively
gentle-	man’s	gentleman’s
dis-	coveries.	discoveries.
convivi-	ality,	conviviality,
obses-	sion	obsession
com-	panionship	companionship
drink-	ers,	drinkers,
with-	out	without
Anony-	mous.	Anonymous.
thy-	self.”	thyself.”
be-	come	become
hope-	lessness?	hopelessness?
suc-	cessful	successful
won-	dering	wondering
hope-	fully	hopefully
Per-	haps	Perhaps
experi-	ence,	experience,
drink-	ing.	drinking.
be-	came	became
busi-	ness.	business.
com-	pletely	completely
treat-	ment	treatment
gath-	ering	gathering
con-	sented,	consented,
oc-	cupied	occupied
ac-	quaintance,	acquaintance,
second-	ary.	secondary.
will-	ing,	willing,
hos-	pital	hospital
suc-	ceeded	succeeded
addi-	tion	addition
at-	tended	attended
be-	come	become
compan-	ionship	companionship
hap-	pened	happened
experi-	ence,	experience,
Al-	coholics	Alcoholics
Anony-	mous	Anonymous
dis-	tractions	distractions
accom-	plished	accomplished
under-	taken	undertaken
Anony-	mous.	Anonymous.
them-	selves,	themselves,
re-	cover—if	recover—if
remem-	ber	remember
medi-	tation	meditation
some-	thing	something
sup-	plied	supplied
eve-	ning	evening
morn-	ing-after	morning-after
privi-	leges	privileges
con-	cern,	concern,
pain-	ful	painful
examina-	tions,	examinations,
re-	main	remain
dis-	covered	discovered
incar-	cerated	incarcerated
Charyb-	dis	Charybdis
per-	mitted,	permitted,
pos-	sible	possible
morn-	ing	morning
con-	tainer.	container.
ostra-	cized	ostracized
inter-	ruptions	interruptions
smug-	gling	smuggling
prob-	lem.	problem.
Satur-	day	Saturday
remem-	ber	remember
noti-	fied	notified
drink-	ing,	drinking,
re-	spect	respect
un-	certain	uncertain
one-	half	onehalf
yield-	ing.	yielding.
well-	to-do	well-to-do
entertain-	ment,	entertainment,
univer-	sity,	university,
be-	cause	because
out-	side.	outside.
hospital-	ized	hospitalized
after-	wards	afterwards
talk-	ing	talking
talk-	ing	talking
appre-	ciate	appreciate
bot-	tom,	bottom,
with-	out	without
com-	pletely	completely
hos-	pital	hospital
cer-	tainly	certainly
any-	body	anybody
hav-	ing	having
reluc-	tantly,	reluctantly,
aw-	ful	awful
some-	thing	something
hospi-	tal,	hospital,
terri-	ble	terrible
peo-	ple	people
pur-	pose	purpose
re-	member	remember
con-	sidered	considered
com-	plex.	complex.
im-	portant	important
hemor-	rhage,	hemorrhage,
count-	less	countless
noth-	ing	nothing
be-	cause	because
grand-	mother,	grandmother,
road-	ster	roadster
de-	pression.	depression.
re-	turn	return
conversa-	tion	conversation
some-	thing	something
per-	petuate	perpetuate
an-	swered	answered
be-	coming	becoming
per-	son.	person.
French-speak-	ing	French-speaking
get-	ting	getting
fac-	tory?	factory?
my-	self.	myself.
seren-	ity,	serenity,
chil-	dren,	children,
sud-	denly,	suddenly,
con-	versation	conversation
re-	membered	remembered
sec-	tion.	section.
any-	thing	anything
Sea-	brook’s	Seabrook’s
some-	thing	something
remem-	bered	remembered
nor-	malcy.	normalcy.
con-	stant	constant
shatter-	ing.	shattering.
remember-	ing,	remembering,
con-	ventional	conventional
immor-	talized	immortalized
amaz-	ing	amazing
mon-	strous	monstrous
im-	portant	important
straight-	ened	straightened
drank—teeto-	talers	drank—teetotalers
in-	tellectual	intellectual
hope-	less	hopeless
cri-	sis	crisis
pos-	sible.	possible.
re-	treat	retreat
willing-	ness	willingness
con-	crete	concrete
“Fresh-	man,”	“Freshman,”
hes-	itated.	hesitated.
re-	member	remember
at-	tempts	attempts
be-	cause	because
collect-	ing,	collecting,
col-	lections	collections
dis-	charged.	discharged.
for-	tunately	fortunately
morn-	ing.	morning.
an-	other	another
de-	feat.	defeat.
ar-	rangements,	arrangements,
alco-	holic.	alcoholic.
be-	fore.	before.
can-	not	cannot
hopeless-	ness	hopelessness
new-	found	newfound
prob-	lems	problems
under-	standing	understanding
tremen-	dous	tremendous
pre-	meditated.	premeditated.
be-	comes	becomes
an-	other	another
laugh-	ing	laughing
Alco-	holics	Alcoholics
tremen-	dous	tremendous
physi-	cian	physician
demand-	ing,	demanding,
alco-	holism—my	alcoholism—my
inti-	mate	intimate
aver-	sion	aversion
after-	wards	afterwards
sud-	den,	sudden,
em-	ployees	employees
oper-	ated	operated
irre-	sponsible	irresponsible
conven-	tion,”	convention,”
chal-	lenge,	challenge,
puz-	zle	puzzle
“re-	ward”	“reward”
worth-	while.”	worthwhile.”
al-	coholics	alcoholics
uncon-	scious	unconscious
busi-	ness?	business?
sud-	denly	suddenly
so-	called	so-called
peri-	odic	periodic
use-	ful	useful
prohib-	ited.)	prohibited.)
direc-	tion,	direction,
automo-	bile	automobile
prin-	ciple	principle
for-	mula	formula
an-	other’s	another’s
meet-	ing	meeting
thou-	sand	thousand
inde-	pendent	independent
or-	dered	ordered
or-	dered,	ordered,
ten-	dollar-a-week	tendollar-a-week
see-	ing	seeing
bot-	tle.	bottle.
loneli-	ness	loneliness
deter-	mined	determined
recog-	nized	recognized
writ-	ten,	written,
com-	pletely	completely
alco-	holics	alcoholics
alco-	holic,	alcoholic,
Janu-	ary	January
inhibi-	tions.	inhibitions.
Bap-	tist	Baptist
actu-	ally,	actually,
posses-	sive	possessive
associ-	ated.	associated.
acci-	dentally	accidentally
any-	one	anyone
cer-	tificate	certificate
mar-	ried	married
suf-	fered	suffered
remem-	ber	remember
Vir-	ginia	Virginia
Washing-	ton,	Washington,
intern-	ship	internship
trou-	bles	troubles
pathologi-	cally	pathologically
bot-	tles.”	bottles.”
week-	ends.	weekends.
decen-	tralized.	decentralized.
ser-	vice.	service.
Wash-	ington.	Washington.
drink-	ing.	drinking.
carry-	ing	carrying
pat-	tern.	pattern.
twenty-	third,	twentythird,
street-	car,	streetcar,
ba-	sically	basically
psychia-	trist	psychiatrist
pay-	day.	payday.
elec-	trical	electrical
busi-	ness	business
some-	thing	something
him-	self.	himself.
Fi-	nally,	Finally,
con-	tinued	continued
in-	dividuals.	individuals.
sociolo-	gists	sociologists
at-	tended	attended
con-	fidence	confidence
Vaca-	tions	Vacations
count-	less	countless
ex-	hausted	exhausted
to-	ward	toward
seem-	ingly	seemingly
re-	sembling	resembling
down-	town—I	downtown—I
bro-	kerage	brokerage
simul-	taneously,	simultaneously,
pat-	tern	pattern
discov-	ered	discovered
un-	dergone	undergone
to-	ward	toward
nine-	teen	nineteen
will-	ing	willing
de-	cision?	decision?
pur-	posefulness	purposefulness
over-	powering	overpowering
matter-of-	course	matter-of-course
high-	lights	highlights
necessi-	tated	necessitated
pros-	pect.	prospect.
made-to-	order	made-to-order
prob-	lem	problem
en-	rolled	enrolled
emo-	tional	emotional
ac-	curate	accurate
anticipa-	tion	anticipation
cir-	cumstances	circumstances
al-	most	almost
coopera-	tion	cooperation
well-	rounded	well-rounded
ad-	justments	adjustments
re-	straining	restraining
ex-	pense	expense
morn-	ing	morning
dura-	tion.	duration.
apart-	ment,	apartment,
un-	derstand	understand
en-	tirely	entirely
atti-	tude	attitude
com-	pletely	completely
begin-	ning	beginning
suc-	cessfully.	successfully.
phi-	losophy	philosophy
selfish-	ness,	selfishness,
ill-	temper,	illtemper,
ask-	ing	asking
im-	pressive,	impressive,
al-	ways	always
main-	tain	maintain
doc-	tor	doctor
con-	tact	contact
les-	son,	lesson,
valu-	able	valuable
some-	thing	something
practi-	cally	practically
recom-	mend	recommend
pros-	pects	prospects
be-	came	became
au-	tumn	autumn
ex-	pand	expand
contin-	ued	continued
Cour-	age	Courage
uncer-	tainties	uncertainties
ap-	praisal	appraisal
ex-	periences,	experiences,
Fitz-	gerald,	Fitzgerald,
pseudo-	sophistication.	pseudosophistication.
sum-	mer	summer
reason-	able	reasonable
drink-	ing	drinking
prob-	lem.	problem.
un-	stable	unstable
despera-	tion,	desperation,
re-	cover,	recover,
institu-	tion.	institution.
asy-	lum.	asylum.
incur-	able	incurable
re-	lief	relief
Never-	theless,	Nevertheless,
appar-	ently	apparently
dif-	ficulties,	difficulties,
ex-	isted.	existed.
re-	sponsible	responsible
alco-	holic.	alcoholic.
tech-	nique	technique
re-	moved.	removed.
re-	covered	recovered
rev-	elations	revelations
en-	couraged	encouraged
companion-	ship	companionship
phi-	losophy	philosophy
lim-	itless	limitless
be-	come	become
con-	sistent	consistent
suc-	cessfully	successfully
un-	usual	unusual
to-	gether,	together,
rela-	tionships	relationships
unhap-	piness—except	unhappiness—except
sud-	denly	suddenly
laugh-	ing	laughing
sup-	ply	supply
spe-	cialists,	specialists,
so-	lution.	solution.
funda-	mentally	fundamentally
trav-	eled	traveled
drink-	ing	drinking
differ-	ent	different
hun-	dreds	hundreds
con-	tinue	continue
pro-	gressed	progressed
pro-	gressed,	progressed,
repeat-	edly	repeatedly
morn-	ings,	mornings,
pro-	tect	protect
evaluat-	ing	evaluating
ses-	sions;	sessions;
my-	self,	myself,
in-	formation	information
bear-	able?	bearable?
ques-	tions—he	questions—he
to-	morrow,	tomorrow,
fi-	nally	finally
in-	decisiveness	indecisiveness
appar-	ently	apparently
gradua-	tions,	graduations,
twenty-	four	twenty-four
open-	minded	openminded
per-	ceived	perceived
sur-	prise,	surprise,
differ-	ence	difference
ex-	press	express
bet-	ter	better
peo-	ple?”	people?”
to-	gether,	together,
al-	ways	always
al-	ways	always
ac-	cused	accused
to-	gether.	together.
heav-	ily	heavily
some-	thing	something
chil-	dren	children
sur-	prising,	surprising,
apart-	ment	apartment
atten-	tion	attention
won-	der	wonder
partic-	ular	particular
under-	standing.	understanding.
an-	other	another
to-	morrow	tomorrow
any-	one	anyone
sim-	ple;	simple;
bath-	room,	bathroom,
de-	feat	defeat
vic-	tory.	victory.
cer-	tainly	certainly
drink-	ing.	drinking.
drink-	ing.	drinking.
half-	empty	half-empty
real-	izing	realizing
drink-	ing.	drinking.
doc-	tor	doctor
alco-	holism	alcoholism
to-	gether.	together.
hus-	band,	husband,
organ-	izations,	organizations,
per-	son.	person.
some-	how.	somehow.
Be-	cause	Because
substi-	tute	substitute
sur-	render	surrender
west-	ern	western
gram-	mar	grammar
pres-	ident	president
suc-	cess	success
Alco-	hol	Alcohol
alco-	hol	alcohol
pro-	gram.	program.
drink-	ing	drinking
feel-	ing	feeling
psy-	chiatry	psychiatry
mis-	erable	miserable
work-	ing	working
“Com-	pletely	“Completely
pro-	ceeded	proceeded
sem-	blance	semblance
Anony-	mous,	Anonymous,
un-	derstood	understood
deci-	sion!	decision!
one-	self,	oneself,
exis-	tence	existence
four-	or	fouror
re-	membered	remembered
help-	ing	helping
Anon-	ymous	Anonymous
cura-	tive	curative
benevo-	lent	benevolent
Anony-	mous	Anonymous
in-	side,	inside,
al-	coholic.	alcoholic.
discov-	ered	discovered
grandpar-	ents,	grandparents,
vaca-	tion.	vacation.
or-	dered	ordered
subcul-	ture	subculture
excit-	ing	exciting
in-	formation	information
comfort-	able	comfortable
grad-	uate,	graduate,
diffi-	cult.”	difficult.”
in-	cluding	including
be-	fore	before
ex-	istence	existence
an-	niversary	anniversary
bet-	ter	better
meet-	ing.	meeting.
con-	trol	control
sit-	ting	sitting
al-	coholic	alcoholic
con-	vincing.	convincing.
con-	fusion.	confusion.
any-	thing	anything
en-	joyed	enjoyed
pro-	gram	program
any-	one	anyone
re-	covery	recovery
be-	gan	began
per-	fection.	perfection.
liv-	ing.	living.
re-	warded	rewarded
ac-	tion	action
pro-	gram.	program.
chil-	dren	children
be-	lieve	believe
ma-	terial	material
up-	bringing.	upbringing.
at-	tended	attended
frater-	nity	fraternity
un-	finished	unfinished
effort-	lessly	effortlessly
semes-	ter	semester
peo-	ple	people
stop-	ping	stopping
ap-	pointments	appointments
re-	runs	reruns
iso-	lated	isolated
stash-	ing	stashing
bot-	tles	bottles
father-in-	law,	father-in-law,
ge-	ographical	geographical
con-	centrate	concentrate
gradu-	ated	graduated
de-	gree?	degree?
un-	derstand	understand
entre-	preneur.	entrepreneur.
obses-	sion	obsession
re-	alized	realized
fly-	ing	flying
ani-	mals.	animals.
of-	fered	offered
disap-	pointed	disappointed
noth-	ing	nothing
rec-	ognize	recognize
peo-	ple	people
chair-	person	chairperson
impor-	tantly,	importantly,
re-	lief	relief
fi-	nally	finally
sure-	handedness	surehandedness
prom-	ising	promising
indi-	cate	indicate
indica-	tions	indications
one-	night	onenight
al-	most	almost
grate-	ful	grateful
con-	trolled	controlled
par-	ents	parents
upbring-	ings	upbringings
wonder-	ing,	wondering,
stand-	ing	standing
lit-	tle	little
evap-	orated	evaporated
en-	gaged	engaged
dis-	counted	discounted
sim-	ply	simply
hos-	pitals	hospitals
patrol-	man.	patrolman.
pow-	erless	powerless
ar-	rested	arrested
at-	tacked	attacked
restau-	rant	restaurant
of-	ficer	officer
re-	taliated.	retaliated.
police-	man	policeman
drink-	ing	drinking
re-	turning	returning
be-	cause	because
pro-	fessional	professional
di-	vorce.	divorce.
any-	one—and	anyone—and
week-	long	weeklong
soft-	ball,	softball,
de-	nial	denial
po-	lice	police
meet-	ings	meetings
suc-	cessful	successful
obses-	sive	obsessive
ear-	lier	earlier
so-	briety	sobriety
al-	cohol.	alcohol.
some-	thing	something
consum-	ing	consuming
begin-	ning	beginning
con-	trol	control
hun-	dredth	hundredth
ac-	cepted	accepted
un-	manageability	unmanageability
get-to-	gether.	get-together.
2,000-	plus	2,000plus
un-	derstood	understood
put-	ting	putting
con-	viviality.	conviviality.
worth-	while	worthwhile
chap-	ters	chapters
pro-	gram	program
nag-	ging	nagging
out-	cast.	outcast.
cul-	tural	cultural
lik-	ing	liking
per-	son	person
tol-	erance	tolerance
in-	side	inside
be-	came	became
recy-	cled	recycled
some-	time	sometime
some-	thing	something
is-	land	island
walk-	ing	walking
rick-	ety	rickety
thera-	pist	therapist
A.A.—be-	cause	A.A.—because
to-	gether,	together,
han-	dle	handle
sur-	vived	survived
alco-	holic.”	alcoholic.”
some-	one	someone
symp-	toms	symptoms
dis-	ease	disease
inter-	group	intergroup
birth-	day,	birthday,
rat-	tling	rattling
alco-	hol,	alcohol,
under-	stood	understood
in-	cluded	included
awak-	ing.	awaking.
en-	abled	enabled
writ-	ing	writing
fan-	tasies	fantasies
attrac-	tive	attractive
